id,loc,type,dest,dist,chain
0,"-6.2244941851538576, 106.80443493777844","street","1","4.7","3,8"
1,"-6.224072816430017, 106.80408518180998","street","2","4","3,8"
2,"-6.223906665421917, 106.80395734676787","street","3","3.2","3,8"
3,"-6.2239937293205845, 106.8038318588278","restaurant","4","2","3,8"
4,"-6.223532554654862, 106.80367558239092","street","5","4","0"
5,"-6.222697761835652, 106.80300342889895","street","6","6","0"
6,"-6.222518348166061, 106.80264642328511","street","7","4","0"
7,"-6.221602079512995, 106.80037267061935","street","1","19","0"
